support,itemsets
0.1794400163498876,frozenset({'Apples'})
0.1794400163498876,frozenset({'Bananas'})
0.17024320457796852,frozenset({'Beef'})
0.1759656652360515,frozenset({'Bread'})
0.1797465767422849,frozenset({'Butter'})
0.18322092785612099,frozenset({'Carrots'})
0.17698753321070917,frozenset({'Cereal'})
0.17586347843858574,frozenset({'Cheese'})
0.17872470876762722,frozenset({'Chicken'})
0.18189249948906602,frozenset({'Eggs'})
0.17872470876762722,frozenset({'Fish'})
0.17075413856529736,frozenset({'Juice'})
0.18168812589413447,frozenset({'Milk'})
0.1815859390966687,frozenset({'Onions'})
0.17964438994481913,frozenset({'Oranges'})
0.17739628040057226,frozenset({'Pasta'})
0.17800940118536684,frozenset({'Potatoes'})
0.17146944614755774,frozenset({'Rice'})
0.17729409360310647,frozenset({'Snacks'})
0.17841814837522993,frozenset({'Tomato Sauce'})
0.03443695074596362,"frozenset({'Bananas', 'Apples'})"
0.030962599632127528,"frozenset({'Beef', 'Apples'})"
0.03300633558144288,"frozenset({'Bread', 'Apples'})"
0.034028203556100554,"frozenset({'Butter', 'Apples'})"
0.034334763948497854,"frozenset({'Carrots', 'Apples'})"
0.03310852237890864,"frozenset({'Cereal', 'Apples'})"
0.030042918454935622,"frozenset({'Cheese', 'Apples'})"
0.03310852237890864,"frozenset({'Chicken', 'Apples'})"
0.034641324340895153,"frozenset({'Eggs', 'Apples'})"
0.03372164316370325,"frozenset({'Fish', 'Apples'})"
0.03249540159411404,"frozenset({'Juice', 'Apples'})"
0.0319844676067852,"frozenset({'Milk', 'Apples'})"
0.034743511138360925,"frozenset({'Onions', 'Apples'})"
0.030758226037195996,"frozenset({'Oranges', 'Apples'})"
0.03280196198651134,"frozenset({'Pasta', 'Apples'})"
0.030247292049867158,"frozenset({'Potatoes', 'Apples'})"
0.029327610872675252,"frozenset({'Rice', 'Apples'})"
0.03249540159411404,"frozenset({'Snacks', 'Apples'})"
0.03300633558144288,"frozenset({'Apples', 'Tomato Sauce'})"
0.031166973227059063,"frozenset({'Beef', 'Bananas'})"
0.03249540159411404,"frozenset({'Bananas', 'Bread'})"
0.034028203556100554,"frozenset({'Butter', 'Bananas'})"
0.03392601675863478,"frozenset({'Bananas', 'Carrots'})"
0.032904148783977114,"frozenset({'Bananas', 'Cereal'})"
0.03321070917637441,"frozenset({'Bananas', 'Cheese'})"
0.03525444512568976,"frozenset({'Chicken', 'Bananas'})"
0.03310852237890864,"frozenset({'Bananas', 'Eggs'})"
0.03423257715103209,"frozenset({'Bananas', 'Fish'})"
0.028816676885346414,"frozenset({'Bananas', 'Juice'})"
0.034334763948497854,"frozenset({'Bananas', 'Milk'})"
0.03126916002452483,"frozenset({'Bananas', 'Onions'})"
0.03188228080931944,"frozenset({'Oranges', 'Bananas'})"
0.03259758839157981,"frozenset({'Bananas', 'Pasta'})"
0.03126916002452483,"frozenset({'Bananas', 'Potatoes'})"
0.030042918454935622,"frozenset({'Bananas', 'Rice'})"
0.030656039239730228,"frozenset({'Bananas', 'Snacks'})"
0.032188841201716736,"frozenset({'Bananas', 'Tomato Sauce'})"
